text,sentiment
Job creation in Binga is  priority.,positive
Corruption in Chitungwiza needs to be addressed.,negative
Healthcare services in Kwekwe are lacking.,neutral
We need more investment in technology in Zimbabwe.,positive
Business opportunities in Bulawayo are growing.,positive
Tourism in Masvingo is on the rise!,positive
Corruption in councils needs to be addressed.,negative
Inflation in Gweru is a major issue.,negative
Healthcare services in  are lacking.,negative
Great leadership in Mutare!,positive
Youth unemployment in Marondera is a crisis.,positive
Tourism in Kariba is on the rise!,positive
Youth unemployment in Mberengwa is a crisis.,negative
Education in Bindura is key for our future.,positive
Inflation in Kariba is a major issue.,negative
Education is driving Binga development.,positive
Tourism in Kariba is on the rise,neutral
Political unrest in Bulawayo is concerning.,negative
Great leadership in Binga,positive
Political unrest and violence is concerning.,negative
The economy in Harare is improving!,positive
Community engagement in Negande Kriba rural rural is essential.,neutral
The economy in Chivhu is improving ,positive
Inflation in Zvipani is a major issue.,negative
Business opportunities in Bulawayo are growing.,positive
The economy in karoi is improving especially during tobacco season,neutral
Animals are putting Binga people life in danger,neutral
Healthcare services in Binga are lacking.,negative
The infrastructure in Harare is in bad state,negative
Education in Zvimba west district is being taken serious,positive
Investment in tourism in Masvingo is crucial.,neutral
Corruption in Chitungwiza needs to be addressed.,neutral
Youth unemployment in Marondera is a crisis.,neutral
Political unrest in Bulawayo is concerning.,negative
Great leadership in Mutare!,positive
Corruption in Chitungwiza needs to be addressed.,neutral
Great leadership are cooking something big in Gokwe Chitekete,positive
Political unrest in Bulawayo is concerning.,neutral
Inflation in Kariba Mola area is a major issue.,positive
Education in Bindura is key for our future.,neutral
Great leadership in Mutare is moving to another level,positive
Corruption in land distribution needs to be addressed.,negative
The Displaced local people in Zambezi valley are languishing in poverty,negative
Youth unemployment in Marondera is a crisis.,negative
Tourism in Victoria Falls is on the rise!,positive
Corruption needs to be addressed.,neutral
Business opportunities in Bulawayo are growing.,positive
The economy in Harare is improving!,positive
The infrastructure in Harare is improving.,positive
Inflation hit Simuchembu area is a major issue.,negative
Business opportunities in Siakobvu are growing.,positive
Tourism in Marongora safara is on the rise!,positive
Healthcare services in Jongola area are lacking.,negative
Inflation in Gweru is a major issue.,negative
Corruption in Chitungwiza needs to be addressed.,negative
Business opportunities in Chegutu are growing.,positive
Healthcare services in Kwekwe are lacking.,neutral
Tourism in Masvingo is on the rise!,positive
Political unrest in Bulawayo is concerning.,negative
Investment in tourism in Masvingo is crucial.,neutral
